City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,anna regina,7.2644,-58.5077,28.970000000000027,70,100,3.23,GY,2023-10-16
141,yangambi,0.8102,24.4336,21.27000000000004,97,99,1.1,CD,2023-10-16
142,port alfred,-33.5906,26.891,16.77000000000004,90,87,1.34,ZA,2023-10-16
143,loukhi,66.0764,33.0381,3.0400000000000205,95,100,5.05,RU,2023-10-16
144,kudahuvadhoo,2.6708,72.8944,27.710000000000036,78,26,7.77,MV,2023-10-16
145,wailua homesteads,22.0669,-159.378,27.439999999999998,74,40,5.14,US,2023-10-16
146,senillosa,-39.0,-68.4167,21.879999999999995,18,5,3.73,AR,2023-10-16
147,fayroz koh,34.5195,65.2509,4.03000000000003,49,0,0.78,AF,2023-10-16
148,ancud,-41.8697,-73.8203,11.390000000000043,65,13,2.06,CL,2023-10-16
149,qaqortoq,60.7167,-46.0333,1.7100000000000364,97,100,1.57,GL,2023-10-16
150,hecun,36.5333,114.1111,14.890000000000043,59,0,1.25,CN,2023-10-16
151,alofi,-19.0595,-169.9187,22.939999999999998,83,75,6.17,NU,2023-10-16
152,talnakh,69.4865,88.3972,-0.4399999999999977,97,100,2.46,RU,2023-10-16
153,sao gabriel da cachoeira,-0.1303,-67.0892,25.960000000000036,90,100,1.36,BR,2023-10-16
154,harper,4.375,-7.7169,24.82000000000005,89,96,3.35,LR,2023-10-16
155,itaituba,-4.2761,-55.9836,37.09000000000003,47,20,1.99,BR,2023-10-16
156,christchurch,-43.5333,172.6333,9.390000000000043,88,100,5.14,NZ,2023-10-16
157,seredyna-buda,52.189,34.0364,3.910000000000025,87,57,5.88,UA,2023-10-16
158,twentynine palms,34.1356,-116.0542,34.960000000000036,10,0,0.45,US,2023-10-16
159,olonkinbyen,70.9221,-8.7187,0.7700000000000387,73,100,5.65,SJ,2023-10-16
160,mahibadhoo,3.7833,72.9667,28.02000000000004,77,28,7.13,MV,2023-10-16
161,pangai,-19.8,-174.35,25.060000000000002,73,20,6.17,TO,2023-10-16
162,chelm,51.1431,23.4716,7.830000000000041,58,100,5.38,PL,2023-10-16
163,karratha,-20.7377,116.8463,27.04000000000002,22,0,4.93,AU,2023-10-16
164,stanley,54.868,-1.6985,3.2100000000000364,93,0,0.0,GB,2023-10-16
165,muroto-misakicho,33.2833,134.15,20.129999999999995,62,0,2.06,JP,2023-10-16
166,myrina,39.8797,25.0742,14.580000000000041,67,75,6.69,GR,2023-10-16
167,dudinka,69.4058,86.1778,-0.17999999999994998,98,100,2.68,RU,2023-10-16
168,tatarsk,55.219,75.9828,7.2000000000000455,57,100,6.26,RU,2023-10-16
169,ola,59.5833,151.2833,2.8600000000000136,92,100,2.86,RU,2023-10-16
170,remire-montjoly,4.9167,-52.2667,29.02000000000004,70,16,4.63,GF,2023-10-16
171,golyshmanovo,56.3979,68.3728,8.700000000000045,93,55,3.55,RU,2023-10-16
172,vorgashor,67.5833,63.95,1.7100000000000364,98,100,3.95,RU,2023-10-16
